,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
654,50.67,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,293886.0
655,41.30,2,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,239540.0
656,49.22,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,280554.0
657,44.79,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,259782.0
658,49.23,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,280611.0
659,44.87,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,260246.0
660,40.16,2,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,248992.0
661,35.93,2,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,229952.0
662,40.13,2,pierwotny,apartamentowiec,0,10,,miejskie,,do wykończenia,,plastikowe,,,228741.0
663,49.23,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,290457.0
664,66.50,3,wtórny,blok,10,10,,miejskie,1960,,,plastikowe,940,,338000.0
665,67,3,wtórny,,1,1,cegła,,,,pełna własność,plastikowe,,,383000.0
666,49.50,2,wtórny,apartamentowiec,8,8,,miejskie,,do zamieszkania,pełna własność,plastikowe,350,2019-04-01,689000.0
667,32,1,wtórny,,8,,,,,,,,,,152000.0
668,51.40,3,wtórny,,2,3,,miejskie,2016,,pełna własność,plastikowe,306.98,,367700.0
669,40,2,pierwotny,apartamentowiec,5,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,264000.0
670,46,2,wtórny,blok,1,4,wielka płyta,miejskie,,do zamieszkania,,plastikowe,450,,245000.0
671,45,2,pierwotny,apartamentowiec,10,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,284000.0
672,48,3,pierwotny,apartamentowiec,10,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,306000.0
673,51,2,wtórny,apartamentowiec,4,10,,miejskie,2008,,pełna własność,plastikowe,490,,360000.0
674,156,4,wtórny,apartamentowiec,4,4,pustak,elektryczne,2004,do wykończenia,pełna własność,plastikowe,,2019-04-11,640000.0
675,37.57,2,pierwotny,blok,1,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,2019-12-01,253000.0
676,36.75,2,pierwotny,blok,2,10,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,2019-12-01,224000.0
677,44.87,2,pierwotny,blok,3,10,beton,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,2019-12-01,255000.0
678,62,3,wtórny,apartamentowiec,0,3,cegła,gazowe,2010,do zamieszkania,pełna własność,,300,,420000.0
679,46.60,2,wtórny,,10,14,,,,do zamieszkania,spółdzielcze własnościowe,plastikowe,600,,335000.0
680,61.07,3,wtórny,,8,10,,miejskie,,,,,,,295000.0
681,71.82,3,pierwotny,apartamentowiec,4,4,,miejskie,2018,do wykończenia,pełna własność,,,,398601.0
682,48.63,1,wtórny,kamienica,2,2,cegła,,1880,do zamieszkania,pełna własność,plastikowe,315,,121575.0
683,50,2,wtórny,apartamentowiec,4,8,,miejskie,2008,do zamieszkania,pełna własność,plastikowe,400,,420000.0
684,42.28,2,pierwotny,,0,,pustak,miejskie,,do wykończenia,pełna własność,,,,270592.0
685,39,1,wtórny,blok,0,14,beton,miejskie,1978,do zamieszkania,spółdzielcze wł. z KW,plastikowe,350,,195000.0
686,72,4,wtórny,blok,9,10,,miejskie,,,,plastikowe,,,348000.0
687,69.40,3,pierwotny,apartamentowiec,1,2,,,,,pełna własność,plastikowe,,,352946.0
688,48.65,2,wtórny,blok,8,10,wielka płyta,miejskie,,,,plastikowe,,,229000.0
689,72,4,wtórny,blok,10,14,beton,miejskie,1979,do zamieszkania,spółdzielcze własnościowe,plastikowe,600,,375000.0
690,47,2,wtórny,blok,10,15,beton,miejskie,1970,do zamieszkania,pełna własność,plastikowe,450,,299000.0
691,36.75,2,pierwotny,blok,2,10,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,2019-12-01,224000.0
692,55,3,wtórny,kamienica,1,1,cegła,piece kaflowe,,do remontu,pełna własność,plastikowe,223,,194000.0
693,48.38,3,pierwotny,blok,4,10,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,,270000.0
694,33.48,2,pierwotny,blok,1,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,2019-12-01,242000.0
695,63.35,3,pierwotny,blok,2,3,,,2020,do wykończenia,pełna własność,,,,375734.0
696,39.91,2,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,251433.0
697,51.64,3,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,309840.0
698,59,3,wtórny,blok,10,14,,miejskie,,do zamieszkania,pełna własność,,,,370000.0
699,47.45,3,pierwotny,,1,6,,miejskie,,,pełna własność,,,,339268.0
700,50.87,2,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,305220.0
701,55.09,4,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,330540.0
702,36.15,2,pierwotny,blok,5,6,,miejskie,2020,,pełna własność,,,,287393.0
703,39.91,2,pierwotny,apartamentowiec,0,4,,miejskie,2018,do wykończenia,pełna własność,,,,251433.0
704,59.23,4,pierwotny,blok,4,6,,miejskie,,,pełna własność,,,,414610.0
705,32,1,wtórny,blok,8,10,,miejskie,,,spółdzielcze własnościowe,plastikowe,340,,152000.0
706,32,1,wtórny,blok,1,3,,,,do zamieszkania,pełna własność,plastikowe,,,60000.0
707,50.87,3,pierwotny,apartamentowiec,0,4,,miejskie,2018,do wykończenia,pełna własność,,,,305220.0
708,39.91,2,pierwotny,apartamentowiec,0,4,,miejskie,2018,,,plastikowe,,,251433.0
709,50.87,2,pierwotny,apartamentowiec,0,4,,miejskie,2018,,,plastikowe,,,305220.0
710,117,3,wtórny,blok,0,2,,,,do zamieszkania,,,,,850000.0
711,38,2,wtórny,blok,0,4,cegła,miejskie,,do zamieszkania,spółdzielcze własnościowe,plastikowe,,2019-05-01,205000.0
712,50.87,3,pierwotny,apartamentowiec,0,4,,miejskie,2018,do wykończenia,pełna własność,,120,,305220.0
713,39.48,2,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,244776.0
714,52.19,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,302702.0
715,59.07,4,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,348513.0
716,48.37,3,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,275709.0
717,59,3,wtórny,blok,10,14,wielka płyta,miejskie,,do zamieszkania,pełna własność,plastikowe,,,370000.0
718,62.10,3,wtórny,blok,10,18,wielka płyta,miejskie,,do zamieszkania,spółdzielcze własnościowe,plastikowe,690,,397440.0
719,38.72,2,pierwotny,apartamentowiec,1,10,,miejskie,,do wykończenia,,plastikowe,,,240064.0
720,39.91,2,pierwotny,apartamentowiec,0,4,,miejskie,2018,do wykończenia,pełna własność,,90,,251433.0
721,40,2,wtórny,blok,9,11,wielka płyta,miejskie,1980,do zamieszkania,spółdzielcze własnościowe,plastikowe,200,2019-04-12,220000.0
722,51,2,wtórny,blok,10,18,wielka płyta,miejskie,,,,plastikowe,450,,249000.0
723,50.87,3,wtórny,apartamentowiec,0,4,,miejskie,,do wykończenia,,plastikowe,,,305220.0
724,233,7,wtórny,kamienica,2,4,inne,miejskie,1900,,pełna własność,drewniane,1 000,,649000.0
725,39.91,2,wtórny,apartamentowiec,0,4,,miejskie,,do wykończenia,,plastikowe,,,251433.0
726,48.65,2,wtórny,blok,7,8,,,,do zamieszkania,spółdzielcze własnościowe,plastikowe,700,,225000.0
727,48,2,wtórny,blok,0,4,inne,miejskie,1975,do remontu,spółdzielcze własnościowe,plastikowe,400,2019-04-12,205000.0
728,86,4,wtórny,kamienica,1,,cegła,miejskie,,do zamieszkania,pełna własność,plastikowe,450,,320000.0
729,42.28,2,pierwotny,apartamentowiec,0,,pustak,miejskie,,do wykończenia,pełna własność,,,,270592.0
730,62.07,3,wtórny,blok,2,4,,,,do zamieszkania,pełna własność,plastikowe,600,,329000.0
731,32,1,wtórny,blok,8,10,,miejskie,,do zamieszkania,pełna własność,,,,160000.0
732,77.54,4,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,492379.0
733,45.14,2,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,264069.0
734,59,3,wtórny,kamienica,0,3,,,1950,,pełna własność,,430,,170000.0
735,58.89,3,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,359229.0
736,94,3,wtórny,,1,2,cegła,gazowe,2012,do zamieszkania,,plastikowe,,,409000.0
737,64.70,3,pierwotny,apartamentowiec,6,7,,miejskie,2021,do wykończenia,pełna własność,,,,608000.0
738,70,2,wtórny,apartamentowiec,2,5,,miejskie,2010,do zamieszkania,pełna własność,plastikowe,400,,750000.0
739,32.52,2,pierwotny,apartamentowiec,7,10,,miejskie,,do wykończenia,,plastikowe,,,208128.0
740,45.14,2,pierwotny,blok,2,2,,,,,pełna własność,,,,264069.0
741,49.84,2,pierwotny,apartamentowiec,4,7,,miejskie,2021,do wykończenia,pełna własność,,,,413672.0
742,35.35,1,wtórny,blok,4,4,cegła,miejskie,1970,do remontu,,plastikowe,300,,169000.0
743,55.44,3,pierwotny,apartamentowiec,5,7,,miejskie,2021,do wykończenia,pełna własność,,,,510000.0
744,25.62,1,pierwotny,blok,1,5,,,2019,,,,,,180621.0
745,73,4,wtórny,blok,7,10,,miejskie,1999,do remontu,pełna własność,plastikowe,650,2019-04-12,365000.0
746,49,2,wtórny,blok,9,10,wielka płyta,miejskie,1980,do remontu,pełna własność,plastikowe,560,,185000.0
747,142,4,wtórny,kamienica,3,4,cegła,gazowe,1920,do zamieszkania,pełna własność,plastikowe,,2019-05-31,600000.0
748,82.28,4,pierwotny,,3,4,,miejskie,,,,,,,560000.0
749,55.65,2,pierwotny,,3,,,miejskie,,,,,,,367000.0
750,53,3,pierwotny,apartamentowiec,10,10,pustak,miejskie,2019,,pełna własność,plastikowe,,,285000.0
751,55,3,pierwotny,apartamentowiec,2,6,pustak,miejskie,,,pełna własność,plastikowe,,,380000.0
752,41,2,pierwotny,apartamentowiec,2,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,90,,313000.0
753,47,3,pierwotny,apartamentowiec,0,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,,366000.0
754,53,3,pierwotny,apartamentowiec,3,5,pustak,miejskie,,,pełna własność,plastikowe,,,365000.0
755,37,2,pierwotny,apartamentowiec,10,10,pustak,miejskie,2019,,pełna własność,plastikowe,,,216500.0
756,40,2,pierwotny,apartamentowiec,6,10,pustak,miejskie,2019,,pełna własność,plastikowe,,,225000.0
757,41,2,pierwotny,apartamentowiec,3,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,90,,318000.0
758,40,2,pierwotny,apartamentowiec,2,8,pustak,miejskie,2019,do zamieszkania,pełna własność,plastikowe,,,299000.0
759,55,3,pierwotny,apartamentowiec,4,7,pustak,miejskie,,,pełna własność,plastikowe,,,359000.0
760,36.58,2,pierwotny,blok,1,5,,miejskie,2019,,pełna własność,,,,246915.0
761,77.81,4,pierwotny,apartamentowiec,7,7,,miejskie,2021,do wykończenia,pełna własność,,,,723633.0
762,26.32,1,wtórny,blok,0,4,,miejskie,1975,do zamieszkania,spółdzielcze własnościowe,plastikowe,290,,115000.0
763,41.22,2,pierwotny,blok,10,10,,miejskie,2019,,pełna własność,plastikowe,,,234954.0
764,40.66,2,pierwotny,blok,8,8,,miejskie,2019,,,,,,323247.0
765,56.60,3,wtórny,blok,4,13,beton,miejskie,1970,,spółdzielcze własnościowe,plastikowe,,,270000.0
766,37.57,2,pierwotny,apartamentowiec,4,5,,miejskie,2019,do wykończenia,pełna własność,,,,257354.0
767,51.19,2,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,289223.5
768,49.48,3,pierwotny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,pełna własność,,,,304302.0
769,52.20,3,pierwotny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,pełna własność,,,,328860.0
770,72.60,3,wtórny,apartamentowiec,3,3,cegła,miejskie,1990,do zamieszkania,pełna własność,plastikowe,460,2019-02-28,338700.0
771,30.64,1,pierwotny,apartamentowiec,3,5,,miejskie,2019,do wykończenia,pełna własność,,,,209884.0
772,42,2,pierwotny,apartamentowiec,8,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,90,,326000.0
773,142,4,wtórny,blok,1,3,beton,inne,,do zamieszkania,pełna własność,plastikowe,,,600000.0
774,63,3,wtórny,blok,2,10,,miejskie,,,spółdzielcze własnościowe,plastikowe,,,319000.0
775,46,2,wtórny,blok,2,16,,miejskie,,do remontu,spółdzielcze wł. z KW,plastikowe,,,259000.0
776,50.70,2,wtórny,blok,10,18,wielka płyta,miejskie,,,pełna własność,plastikowe,430,,230000.0
777,42,3,wtórny,kamienica,,,,elektryczne,,,pełna własność,plastikowe,180,,249000.0
778,60,3,wtórny,apartamentowiec,2,2,cegła,miejskie,2014,do zamieszkania,pełna własność,plastikowe,620,2018-11-09,499000.0
779,46.38,2,wtórny,apartamentowiec,5,4,,miejskie,,do wykończenia,,plastikowe,,,301470.0
780,46,2,wtórny,,2,,,,,,,,,,265000.0
781,51,2,wtórny,blok,10,18,inne,miejskie,1978,do zamieszkania,pełna własność,plastikowe,250,2019-04-15,229999.0
782,54.71,3,pierwotny,apartamentowiec,0,5,pustak,miejskie,,do wykończenia,pełna własność,plastikowe,,,347759.0
783,40.30,2,pierwotny,apartamentowiec,5,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,263965.0
784,61,3,wtórny,blok,1,10,,miejskie,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,,,290000.0
785,30.64,1,pierwotny,apartamentowiec,3,5,pustak,miejskie,,do wykończenia,pełna własność,plastikowe,,,209884.0
786,36.58,2,pierwotny,apartamentowiec,1,5,pustak,miejskie,,do wykończenia,pełna własność,plastikowe,,,226665.0
787,61,3,wtórny,blok,8,10,beton,miejskie,1979,do zamieszkania,spółdzielcze wł. z KW,plastikowe,500,,295000.0
788,59.87,4,pierwotny,apartamentowiec,5,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,386161.0
789,75,4,pierwotny,szeregowiec,1,1,pustak,gazowe,2017,do wykończenia,pełna własność,plastikowe,,,450000.0
790,25.62,1,pierwotny,apartamentowiec,2,5,pustak,miejskie,,do wykończenia,pełna własność,plastikowe,,,183183.0
791,47.20,2,wtórny,,10,14,,,,,pełna własność,,,2019-04-15,299000.0
792,65,3,wtórny,kamienica,0,3,cegła,miejskie,,do zamieszkania,pełna własność,plastikowe,,,420000.0
793,60,2,wtórny,apartamentowiec,1,2,,kotłownia,2006,do zamieszkania,pełna własność,plastikowe,,,375000.0
794,82.28,4,pierwotny,,3,,,miejskie,,,,plastikowe,,,560000.0
795,63.37,3,pierwotny,apartamentowiec,2,5,,miejskie,,,,,,,412000.0
796,82.28,4,pierwotny,,3,,,miejskie,,,,,,,560000.0
797,55.65,2,pierwotny,,3,,,miejskie,,do wykończenia,,,,,367000.0
798,42.28,2,pierwotny,apartamentowiec,0,,,miejskie,,,pełna własność,,,,271000.0
799,50.94,2,wtórny,apartamentowiec,,5,,miejskie,,do wykończenia,,plastikowe,,,310734.0
800,46.38,2,wtórny,apartamentowiec,4,4,,miejskie,,do wykończenia,,plastikowe,,2019-06-30,292194.0
801,51.42,2,wtórny,apartamentowiec,,5,,miejskie,,do wykończenia,,plastikowe,,,285381.0
802,46.38,2,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,273642.0
803,46.91,2,wtórny,apartamentowiec,,4,,miejskie,,do wykończenia,,plastikowe,,,281460.0
804,81.06,4,wtórny,apartamentowiec,,8,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,636321.0
805,42,2,wtórny,blok,1,10,wielka płyta,miejskie,1980,do remontu,spółdzielcze własnościowe,plastikowe,450,,240000.0
806,123,4,wtórny,blok,10,24,wielka płyta,miejskie,1995,,spółdzielcze własnościowe,,,,599000.0
807,41.65,2,wtórny,apartamentowiec,7,9,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,324870.0
808,46.73,3,wtórny,apartamentowiec,,9,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,366830.0
809,127,8,wtórny,,0,3,beton,inne,,do remontu,pełna własność,,,,330000.0
810,73,3,wtórny,blok,3,3,beton,inne,1994,do remontu,pełna własność,plastikowe,,,339000.0
811,40.22,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,279529.0
812,36.58,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,250573.0
813,49.48,3,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,321620.0
814,38.28,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,262218.0
815,34.02,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,250047.0
816,70.24,3,wtórny,apartamentowiec,3,4,,miejskie,,do wykończenia,,plastikowe,,2019-06-30,421440.0
817,30.64,1,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,209884.0
818,33.48,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,246078.0
819,46.02,2,wtórny,apartamentowiec,1,9,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,333645.0
820,40.30,2,wtórny,apartamentowiec,3,9,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,318370.0
821,40.66,2,wtórny,apartamentowiec,8,9,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,,2019-12-30,327313.0
822,59.87,4,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,392148.5
823,40.66,2,wtórny,apartamentowiec,6,9,,miejskie,2019,do wykończenia,,plastikowe,,2019-12-30,325280.0
824,54.71,4,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,336466.5
825,53.12,3,wtórny,apartamentowiec,0,5,,miejskie,2019,do wykończenia,,plastikowe,,,337312.0
826,50.44,3,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,310206.0
827,37,2,pierwotny,apartamentowiec,10,10,pustak,miejskie,,,pełna własność,plastikowe,,,216500.0
828,53,3,pierwotny,apartamentowiec,10,10,pustak,miejskie,,,pełna własność,plastikowe,,,285000.0
829,40,2,pierwotny,apartamentowiec,6,10,pustak,miejskie,2019,,pełna własność,plastikowe,,,225000.0
830,55,3,wtórny,blok,3,12,,miejskie,,,,,,,225000.0
831,43,2,wtórny,,1,4,pustak,miejskie,,do zamieszkania,pełna własność,plastikowe,,,249000.0
832,61,3,wtórny,blok,8,10,,,,,,,500,,295000.0
833,40.07,2,pierwotny,apartamentowiec,7,10,,miejskie,,do wykończenia,pełna własność,,,,256448.0
834,45.90,2,wtórny,blok,0,2,cegła,miejskie,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,650,,275000.0
835,38.50,2,pierwotny,apartamentowiec,4,10,,miejskie,,do wykończenia,pełna własność,,,,238700.0
836,50.80,3,pierwotny,apartamentowiec,7,10,,miejskie,,do wykończenia,pełna własność,,,,294640.0
837,41.32,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,pełna własność,,,,243788.0
838,65.65,3,pierwotny,apartamentowiec,1,2,,,,,,plastikowe,,,459550.0
839,30.60,1,pierwotny,blok,2,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,150,2019-12-01,206000.0
840,70,4,wtórny,,6,8,,,,,,,,,350000.0
841,53,3,pierwotny,apartamentowiec,1,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,317000.0
842,45.20,2,pierwotny,blok,0,5,,miejskie,2019,do wykończenia,pełna własność,,,,271000.0
843,104,4,wtórny,,0,,,,,,,,,,380000.0
844,78.81,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,693528.0
845,58,3,wtórny,kamienica,0,2,cegła,miejskie,,,pełna własność,plastikowe,470,2019-07-30,219000.0
846,54,3,pierwotny,apartamentowiec,3,10,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,2,,296505.0
847,45,3,pierwotny,apartamentowiec,10,10,pustak,miejskie,2019,,pełna własność,plastikowe,,,235000.0
848,46.38,2,pierwotny,blok,5,5,,miejskie,2019,do wykończenia,pełna własność,,150,,301470.0
849,51,2,wtórny,kamienica,3,4,cegła,miejskie,,,pełna własność,plastikowe,500,,274000.0
850,61.07,3,wtórny,blok,8,10,wielka płyta,miejskie,,,spółdzielcze własnościowe,plastikowe,570,,299900.0
851,92,4,pierwotny,blok,4,4,,miejskie,2019,do wykończenia,,,270,,498106.0
852,72.12,4,wtórny,,9,10,wielka płyta,miejskie,,do zamieszkania,spółdzielcze własnościowe,plastikowe,618,,315000.0
853,52,3,pierwotny,blok,1,10,pustak,miejskie,2018,do wykończenia,pełna własność,,150,,281626.0
854,71.60,3,pierwotny,blok,4,4,,miejskie,2019,do wykończenia,,,210,,387000.0
855,96.36,4,pierwotny,apartamentowiec,4,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2019-03-15,664884.0
856,41.22,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,239076.0
857,61,3,pierwotny,blok,1,4,,miejskie,2019,do wykończenia,,,180,,326000.0
858,54.46,2,pierwotny,apartamentowiec,4,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,334274.0
859,60,4,wtórny,blok,8,15,,miejskie,1972,do zamieszkania,pełna własność,plastikowe,620,,420000.0
860,69.52,4,wtórny,blok,4,10,,miejskie,1960,,pełna własność,drewniane,700,2019-03-15,374000.0
861,83.43,4,wtórny,apartamentowiec,4,4,,gazowe,2007,do zamieszkania,pełna własność,plastikowe,,,470000.0
862,38.97,2,pierwotny,blok,0,3,,,2020,do wykończenia,,,,,252318.0
863,49,3,wtórny,blok,1,4,,miejskie,1970,,pełna własność,plastikowe,420,2019-03-12,295000.0
864,34.57,1,wtórny,kamienica,3,,,,,do remontu,,plastikowe,,,207420.0
865,54.05,3,pierwotny,apartamentowiec,0,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,475640.0
866,27.42,1,pierwotny,blok,1,3,,,2020,do wykończenia,,,,,169216.0
867,70.70,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,636300.0
868,64,3,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,627200.0
869,56.07,3,pierwotny,apartamentowiec,2,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,493416.0
870,78.81,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,693528.0
871,104,4,wtórny,,0,,,,,,,,,,380000.0
872,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,1 000,,699000.0
873,135,7,wtórny,,1,4,inne,miejskie,,do remontu,pełna własność,drewniane,,,540000.0
874,41.60,2,pierwotny,apartamentowiec,4,8,,miejskie,2019,do wykończenia,pełna własność,,,,310000.0
875,46.70,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,,,,352800.0
876,46,2,pierwotny,apartamentowiec,1,8,,miejskie,2019,do wykończenia,pełna własność,,,,319800.0
877,53.80,3,pierwotny,apartamentowiec,1,8,,miejskie,2019,do wykończenia,pełna własność,,,,395600.0
878,36.20,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,,,,295110.0
879,109.36,3,wtórny,kamienica,0,1,cegła,inne,1919,do remontu,spółdzielcze własnościowe,plastikowe,780.72,,190000.0
880,50,2,wtórny,blok,2,2,cegła,miejskie,,do remontu,pełna własność,plastikowe,550,,280000.0
881,50.48,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,292784.0
882,41.32,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,243788.0
883,52,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,301600.0
884,40.17,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,249054.0
885,49.13,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,280041.0
886,44.56,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,258448.0
887,49.14,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,280098.0
888,44.64,3,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,258912.0
889,62.44,3,wtórny,blok,8,9,inne,miejskie,1986,do zamieszkania,pełna własność,plastikowe,,,247500.0
890,40.04,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,248248.0
891,35.88,2,pierwotny,apartamentowiec,5,10,,miejskie,,do wykończenia,,plastikowe,,,229632.0
892,42.02,2,wtórny,blok,1,10,wielka płyta,miejskie,,do remontu,spółdzielcze własnościowe,plastikowe,420,2019-04-16,240000.0
893,53.70,2,wtórny,blok,10,15,,miejskie,,do remontu,pełna własność,plastikowe,470,2019-04-30,245000.0
894,35.88,2,pierwotny,apartamentowiec,6,10,,miejskie,,do wykończenia,,plastikowe,,,229632.0
895,50.68,2,wtórny,blok,1,4,inne,miejskie,1975,do zamieszkania,spółdzielcze wł. z KW,plastikowe,396,,224500.0
896,45.14,2,pierwotny,blok,1,2,pustak,,,,pełna własność,,,,259555.0
897,77.81,4,pierwotny,,7,7,,,2020,,pełna własność,,,2021-05-01,723633.0
898,88.24,4,pierwotny,blok,1,2,pustak,,,,pełna własność,,,,525028.0
899,45.14,2,pierwotny,blok,1,2,pustak,,,,pełna własność,,,,259555.0
900,55.44,3,pierwotny,,7,7,,,2020,,pełna własność,,,2021-05-01,521136.0
901,49,3,pierwotny,blok,1,10,pustak,miejskie,2018,do wykończenia,pełna własność,,150,,270565.0
902,36.50,2,pierwotny,blok,1,10,pustak,miejskie,2018,do wykończenia,pełna własność,,110,,213000.0
903,110,5,wtórny,kamienica,3,5,cegła,inne,,do zamieszkania,pełna własność,plastikowe,,,499000.0
904,49.10,3,pierwotny,apartamentowiec,5,10,,miejskie,2019,do wykończenia,pełna własność,,150,,260300.0
905,86,4,wtórny,,1,,,,,,pełna własność,,,,320000.0
906,53.90,3,pierwotny,apartamentowiec,2,10,,miejskie,2019,do wykończenia,pełna własność,,150,,296500.0
907,41.44,2,pierwotny,apartamentowiec,4,10,,miejskie,2019,do wykończenia,pełna własność,,90,,227705.0
908,32.83,1,wtórny,kamienica,3,,,,,do remontu,,plastikowe,,,196980.0
909,64,3,wtórny,blok,5,5,beton,inne,,do zamieszkania,pełna własność,plastikowe,,,250000.0
910,41.40,2,pierwotny,apartamentowiec,6,8,pustak,miejskie,2019,do wykończenia,pełna własność,,150,,312175.0
