,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
1841,46.61,2,pierwotny,,2,5,,miejskie,,,pełna własność,plastikowe,,,258500.0
1842,91,4,pierwotny,apartamentowiec,3,5,,miejskie,,,pełna własność,plastikowe,,,499500.0
1843,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,600,,699000.0
1844,104,5,pierwotny,apartamentowiec,10,16,,miejskie,,,,,,,780000.0
1845,46.91,2,pierwotny,apartamentowiec,1,5,,,,do wykończenia,,,,,267387.0
1846,50,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,283000.0
1847,71,4,wtórny,blok,0,3,cegła,,,do remontu,,plastikowe,190,,299000.0
1848,140,4,wtórny,kamienica,3,4,,gazowe,,do zamieszkania,,,,,600000.0
1849,150,5,wtórny,kamienica,1,4,cegła,gazowe,1901,do zamieszkania,pełna własność,plastikowe,,,789000.0
1850,56.91,2,pierwotny,,3,3,,,,,,,,,284550.0
1851,57.60,3,wtórny,apartamentowiec,5,18,,miejskie,1990,do zamieszkania,pełna własność,plastikowe,520,,410000.0
1852,197,4,wtórny,kamienica,2,4,cegła,miejskie,,do remontu,pełna własność,,1 180,,700000.0
1853,142,4,wtórny,kamienica,2,4,cegła,miejskie,1905,do zamieszkania,pełna własność,plastikowe,1 000,,649000.0
1854,45,2,pierwotny,blok,2,,,,,,,,,,216000.0
1855,27.92,1,pierwotny,apartamentowiec,8,10,,miejskie,2018,do zamieszkania,pełna własność,plastikowe,,,153360.0
1856,70,3,wtórny,,,2,cegła,,1961,do remontu,pełna własność,drewniane,,,210000.0
1857,70.24,3,pierwotny,apartamentowiec,2,5,inne,miejskie,2019,,pełna własność,,,,400368.0
1858,74.26,3,wtórny,kamienica,3,4,cegła,,1893,do remontu,pełna własność,,490,,333000.0
1859,45.14,2,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,264069.0
1860,65.64,4,pierwotny,blok,0,2,pustak,,,,pełna własność,,,,377430.0
